id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45248965,Scenic Villa in Moclinejo with Private Pool,362148049,Aurelia - BELVILLA,,Este,36.7697,-4.26425,Entire home/apt,245,1,8,2022-07-16,0.46,1,365,6,VTAR/MA/01523
567297639019494405,Casa Carrasco,431977102,Bookiply,,Este,36.87471,-4.306202,Entire home/apt,116,1,0,,,5,358,0,VTAR/MA/03291
601872786611060501,Bright 3-bedroom flat with pool near beach,64352358,Rodrigo,,Este,36.71894,-4.29509,Entire home/apt,106,2,12,2022-09-11,2.63,1,295,12,VFT/MA/51780
664875217432607008,Era del puerto 3,432584184,Bookiply,,Este,36.74834448271024,-4.315104799959491,Entire home/apt,188,1,3,2022-09-11,1.73,19,364,3,CTC-2022-130751
48062185,"Vista Moscatel, acogedora casa de invitados",387413965,Sabrina,,Churriana,36.65722,-4.53342,Entire home/apt,129,2,8,2022-09-21,4.80,1,358,8,VFT/MA/29751
692905152068133410,La casita de Juanma,210195598,Juanma,,Este,36.71465,-4.30491,Entire home/apt,111,3,0,,,1,90,0,VFT/MA/54374
25153529,Del Parque Flats Torrevigia,152016953,"Del Parque Flats, S.L.",,Este,36.71524,-4.30658,Entire home/apt,94,1,3,2022-09-13,0.08,50,364,1,VFTMA20841
25452891,Romantic casita with covered terrace and pool,192118459,Rasmin,,Este,36.86649,-4.28631,Entire home/apt,73,2,17,2022-09-22,0.33,1,293,10,CR/MA/01642 (CTC-2018109765)
36718719,Casa Joseph Rural mountain retreat Comares,275982434,David,,Este,36.85234,-4.28158,Entire home/apt,88,5,23,2022-08-26,0.63,1,317,4,VTAR/MA02702
597935980934068385,Precioso chalet independiente en La Cala del Moral,452760852,Belén,,Este,36.71431,-4.29497,Entire home/apt,91,2,1,2022-06-19,0.29,1,156,1,CTC-2019174631
709142607679248131,Cubo's Finca Megan,117253760,Cubo'S Holiday Homes.,,Campanillas,36.69955,-4.55477,Entire home/apt,87,1,0,,,28,354,0,VTAR/MA/02266
50337753,TESS Villa Retamar,248992805,TESS Vacacional,,Churriana,36.66107,-4.53766,Entire home/apt,193,1,5,2022-06-26,0.36,7,358,3,VFT/MA/35878
36035440,SolyMar,130702429,José Blas,,Churriana,36.63961,-4.49341,Entire home/apt,64,1,83,2022-09-28,9.43,1,356,83,VFT/MA/46862
52275126,Casa Lorpica El Borge by Ruralidays,392227252,Ruralidays,,Este,36.79836,-4.27674,Entire home/apt,98,2,2,2022-09-02,0.50,21,313,2,VTAR/MA/02614
4614869,AUTHENTIC LOG COTTAGE WITH COMPLETE PRIVACY,22752822,Conchi,,Churriana,36.6599,-4.53592,Entire home/apt,93,4,131,2022-08-28,1.44,1,54,22,CTC-2018139551
50500334,"404 Apartamento a estrenar, playa y Piscina!",402013148,Maco Y Belo,,Este,36.72125,-4.30669,Entire home/apt,70,3,24,2022-08-28,1.60,2,174,12,VFT/MA/43854
22635696,Finca Trigueros - casa palmito for 5 persons,165368500,Carolina - Interhome Group,,Este,36.73246,-4.29103,Entire home/apt,15,1,2,2022-04-30,0.16,4,308,1,CTC-2017118900
4333198,Malaga Sea & Heaven,22498514,Isabel,,Este,36.73237,-4.29917,Entire home/apt,95,3,2,2022-08-16,1.13,1,365,2,Exempt
48048310,lujosa villa en Alhaurin de la Torre 7 dormitorios,262716879,辉,,Churriana,36.6624,-4.54509,Entire home/apt,343,1,57,2022-09-25,2.99,1,165,36,Exempt
8223753,Magníficas Vistas Mar Tranquilidad,43364557,Curro,,Este,36.7142,-4.3014,Entire home/apt,90,3,22,2022-07-01,0.29,1,65,13,VFT/MA/37917
41559451,"Mirador del Romeral (piscina,montaña y playa)",326788467,Soledad,,Campanillas,36.68646,-4.57056,Entire home/apt,239,2,19,2022-09-15,0.60,1,266,10,CTC-2019197601
9786165,"Stunning Panoramic luxury ""Villa Axarquia""",36318291,Holger,,Este,36.76646,-4.26021,Entire home/apt,204,7,17,2022-08-20,0.21,1,265,5,CR/MA/01122
53855983,"Chalet Cerca de Málaga Capital,Playas y Aeropuerto",436140294,Encarnación,,Campanillas,36.6861,-4.57005,Entire home/apt,232,2,5,2022-08-31,0.90,1,268,5,VFT/MA/47983
706211879002110384,Acogedora Casa Rural con piscina y pista de tenis.,118165023,Jose,,Campanillas,36.687892,-4.5656453,Entire home/apt,90,3,0,,,1,91,0,VFT/MA/56905
16440980,VILLA ON THE BEACH IN MALAGA CITY,107813379,Mariam,,Este,36.71648,-4.34986,Entire home/apt,180,4,100,2022-07-30,1.44,1,204,18,VFT/MA/08194
52104850,A Apartamento Nuevo,406506665,Pedro,,Campanillas,36.69735,-4.56427,Entire home/apt,56,1,41,2022-09-23,3.21,2,8,39,VFT/MA/47082
49897223,Kanmarala,205496849,Bookiply,,Campanillas,36.70800330443939,-4.577513049979322,Entire home/apt,353,1,13,2022-08-29,0.82,4,363,6,CR/MA/02186
18519799,TESS Villa Fleury,128553517,TESS Vacacional,,Churriana,36.65094,-4.55164,Entire home/apt,524,1,95,2022-09-24,1.45,4,228,22,VTAR/MA/03209
31513605,TESS Villa Pastora,203070038,TESS Vacacional,,Campanillas,36.68727,-4.56895,Entire home/apt,374,1,38,2022-08-05,1.39,3,344,16,VFT/MA/38998
635989985544027859,TESS Casa Paloma,128553517,TESS Vacacional,,Campanillas,36.74019,-4.59,Entire home/apt,273,1,4,2022-09-23,1.36,4,182,4,VTAR/MA/03779
1999424,Peaceful Apartment Terrace 200m2,8163827,Nicolas,,Este,36.72965,-4.29605,Entire home/apt,61,5,45,2022-09-13,0.49,1,236,7,CTC-2016162313
13661101,"Casa sobre acantilado, jardin, barbacoa y piscina",79406565,Dulce,,Este,36.71272,-4.29641,Entire home/apt,314,5,17,2022-08-05,0.28,1,183,3,VFT/MA/011317
5918818,Great apartment with sea view,30737238,Catarina Y Eduardo,,Este,36.73131,-4.30518,Entire home/apt,150,5,31,2022-08-23,0.41,1,355,4,VFT/MA/05163
33855822,Habitación privada junto al mar con terraza. Room,68062684,Javier,,Churriana,36.64283,-4.48148,Private room,34,1,14,2022-07-21,0.36,4,177,3,31494
32468493,Cubo's Villa Fina,117253760,Cubo'S Holiday Homes.,,Campanillas,36.73524,-4.59697,Entire home/apt,244,1,14,2022-07-09,0.34,28,215,5,CTC-2019025413
551362718260527099,Self contained private apartment and balcony,297941262,Robbie,,Campanillas,36.68691,-4.56461,Private room,84,1,1,2022-09-09,1,5,293,1,202299900725194
29270754,Serrano Country House - “Salt and Heated Pool”,138205981,Francisco,,Campanillas,36.73905,-4.60004,Entire home/apt,229,7,35,2022-09-27,0.75,1,335,12,CR/MA02097
6372873,"Private room in Torremolinos,close to AGP airport",33209393,Manuel,,Churriana,36.64105,-4.4983,Private room,33,4,20,2022-09-03,1.43,1,18,12,VFT/MA/46771
724597863671387231,Finca Malagueando,23783669,Daniel,,Campanillas,36.70126,-4.57908,Entire home/apt,291,2,0,,,1,356,0,VTF/MA/47946
23880079,Casita Las Melosillas Landscape,154232478,Conchi,,Palma-Palmilla,36.86348,-4.46427,Entire home/apt,78,3,108,2022-09-26,1.99,1,271,32,VTAR/MA/02261
5796386,"Fabulous Villa,private pool, stunning views,Malaga",35791734,Liliana,,Churriana,36.65745,-4.53621,Entire home/apt,197,4,43,2022-09-20,0.49,1,328,11,VFT/MA/07744
54348100,Casa rural con piscina privada a 20 min de Málaga,440982096,Manolo,,Churriana,36.66163,-4.54447,Entire home/apt,189,2,3,2022-09-14,1.32,1,80,3,VFT/ma/28934
